,Person,Day,Time,Replicate,Location ,Score,Rating ,dB,Rating_n,dB_n
1,Paige,Monday,AM,1,Main Library,5.29,4,49.1,0.444444444,0.614518148
2,Paige,Monday,AM,1,Common Room,3.66,2,40.7,0.222222222,0.509386733
3,Paige,Monday,AM,1,Student Union,7.27,6,62.9,0.666666667,0.787234043
4,Paige,Monday,PM,1,Student Union,8.04,7,66.4,0.777777778,0.831038798
5,Paige,Monday,PM,1,Common Room,4.49,3,45.1,0.333333333,0.564455569
6,Paige,Monday,PM,1,Main Library,6.18,5,54.3,0.555555556,0.679599499
7,Paige,Monday,AM,2,Common Room,2.88,1,37.2,0.111111111,0.465581977
8,Paige,Monday,AM,2,Main Library,4.8,3,50,0.333333333,0.625782228
9,Paige,Monday,AM,2,Student Union,6.36,5,57.2,0.555555556,0.715894869
10,Paige,Monday,PM,2,Common Room,3.51,2,38.3,0.222222222,0.479349186
11,Paige,Monday,PM,2,Main Library,6.08,5,52.8,0.555555556,0.660826033
12,Paige,Monday,PM,2,Student Union,6.98,6,58.2,0.666666667,0.728410513
13,Paige,Wednesday,AM,1,Common Room,2.89,1,37.3,0.111111111,0.466833542
14,Paige,Wednesday,AM,1,Student Union,6.35,5,57.1,0.555555556,0.714643304
15,Paige,Wednesday,AM,1,Main Library,5.29,4,49,0.444444444,0.613266583
16,Paige,Wednesday,PM,1,Main Library,5.34,4,49.8,0.444444444,0.623279099
17,Paige,Wednesday,PM,1,Student Union,7.86,7,63.4,0.777777778,0.793491865
18,Paige,Wednesday,PM,1,Common Room,4.32,3,42.4,0.333333333,0.530663329
19,Paige,Wednesday,AM,2,Main Library,5.93,5,50.3,0.555555556,0.629536921
20,Paige,Wednesday,AM,2,Student Union,7,6,58.6,0.666666667,0.733416771
21,Paige,Wednesday,AM,2,Common Room,2.84,1,36.5,0.111111111,0.456821026
22,Paige,Wednesday,PM,2,Common Room,2.86,1,36.8,0.111111111,0.46057572
23,Paige,Wednesday,PM,2,Student Union,7.86,7,63.5,0.777777778,0.794743429
24,Paige,Wednesday,PM,2,Main Library,6.76,6,54.7,0.666666667,0.684605757
25,Paige,Friday,AM,1,Common Room,3.02,1,39.4,0.111111111,0.493116395
26,Paige,Friday,AM,1,Main Library,5.28,4,48.9,0.444444444,0.612015019
27,Paige,Friday,AM,1,Student Union,6.93,6,57.4,0.666666667,0.718397997
28,Paige,Friday,PM,1,Student Union,8.66,8,67.3,0.888888889,0.842302879
29,Paige,Friday,PM,1,Main Library,5.37,4,50.3,0.444444444,0.629536921
30,Paige,Friday,PM,1,Common Room,3.03,1,39.5,0.111111111,0.49436796
31,Paige,Friday,AM,2,Common Room,2.94,1,38.1,0.111111111,0.476846058
32,Paige,Friday,AM,2,Main Library,5.47,4,51.9,0.444444444,0.649561952
33,Paige,Friday,AM,2,Student Union,7.38,6,64.6,0.666666667,0.808510638
34,Paige,Friday,PM,2,Common Room,4.01,2,46.3,0.222222222,0.579474343
35,Paige,Friday,PM,2,Student Union,8.21,7,69,0.777777778,0.863579474
36,Paige,Friday,PM,2,Main Library,5.51,4,52.6,0.444444444,0.658322904
37,R M,Monday,AM,1,Student Union,6.8,5,64.33,0.555555556,0.805131414
38,R M,Monday,AM,1,Common Room,3.38,1,45.1,0.111111111,0.564455569
39,R M,Monday,AM,1,Main Library,4.63,2,56.3,0.222222222,0.704630788
40,R M,Monday,PM,1,Student Union,7.85,6,72.1,0.666666667,0.902377972
41,R M,Monday,PM,1,Main Library,4.57,2,55.25,0.222222222,0.691489362
42,R M,Monday,PM,1,Common Room,3.43,1,45.9,0.111111111,0.574468085
43,R M,Monday,AM,2,Main Library,5.19,3,56.35,0.333333333,0.705256571
44,R M,Monday,AM,2,Student Union,7.08,5,68.7,0.555555556,0.859824781
45,R M,Monday,AM,2,Common Room,3.33,1,44.3,0.111111111,0.554443054
46,R M,Monday,PM,2,Common Room,3.12,1,40.9,0.111111111,0.511889862
47,R M,Monday,PM,2,Student Union,6.99,5,67.3,0.555555556,0.842302879
48,R M,Monday,PM,2,Main Library,4.26,2,50.35,0.222222222,0.630162703
49,R M,Wednesday,AM,1,Common Room,4.09,2,47.6,0.222222222,0.595744681
50,R M,Wednesday,AM,1,Main Library,5.17,3,55.95,0.333333333,0.700250313
51,R M,Wednesday,AM,1,Student Union,8.56,7,74.65,0.777777778,0.934292866
52,R M,Wednesday,PM,1,Main Library,5.62,3,63.2,0.333333333,0.790988736
53,R M,Wednesday,PM,1,Common Room,3.33,1,44.4,0.111111111,0.555694618
54,R M,Wednesday,PM,1,Student Union,7.81,6,71.6,0.666666667,0.89612015
55,R M,Wednesday,AM,2,Common Room,3.22,1,42.5,0.111111111,0.531914894
56,R M,Wednesday,AM,2,Main Library,5.75,4,56.45,0.444444444,0.706508135
57,R M,Wednesday,AM,2,Student Union,7.76,6,70.8,0.666666667,0.886107635
58,R M,Wednesday,PM,2,Student Union,8.41,7,72.3,0.777777778,0.904881101
59,R M,Wednesday,PM,2,Common Room,5,3,53.3,0.333333333,0.667083855
60,R M,Wednesday,PM,2,Main Library,6.56,5,60.5,0.555555556,0.757196496
61,R M,Friday,AM,1,Common Room,3.24,1,42.9,0.111111111,0.536921151
62,R M,Friday,AM,1,Student Union,6.2,4,63.6,0.444444444,0.795994994
63,R M,Friday,AM,1,Main Library,4.98,3,53,0.333333333,0.663329161
64,R M,Friday,PM,1,Common Room,3.2,1,42.33,0.111111111,0.529787234
65,R M,Friday,PM,1,Student Union,6.23,4,64,0.444444444,0.801001252
66,R M,Friday,PM,1,Main Library,5.31,3,58.15,0.333333333,0.727784731
67,R M,Friday,AM,2,Student Union,6.89,5,65.7,0.555555556,0.822277847
68,R M,Friday,AM,2,Common Room,3.26,1,43.2,0.111111111,0.540675845
69,R M,Friday,AM,2,Main Library,4.85,3,50.8,0.333333333,0.635794743
70,R M,Friday,PM,2,Common Room,4.91,3,51.8,0.333333333,0.648310388
71,R M,Friday,PM,2,Main Library,5.6,4,54,0.444444444,0.675844806
72,R M,Friday,PM,2,Student Union,7.56,6,67.6,0.666666667,0.846057572
73,Kai,Monday,AM,1,Main Library,5.59,4,53.8,0.444444444,0.673341677
74,Kai,Monday,AM,1,Common Room,3.43,1,45.9,0.111111111,0.574468085
75,Kai,Monday,AM,1,Student Union,7.41,6,65.2,0.666666667,0.816020025
76,Kai,Monday,PM,1,Main Library,4.83,3,50.5,0.333333333,0.63204005
77,Kai,Monday,PM,1,Common Room,3.42,1,45.7,0.111111111,0.571964956
78,Kai,Monday,PM,1,Student Union,8.3,7,70.5,0.777777778,0.882352941
79,Kai,Monday,AM,2,Student Union,5.43,3,60.1,0.333333333,0.752190238
80,Kai,Monday,AM,2,Main Library,4.06,2,47.1,0.222222222,0.589486859
81,Kai,Monday,AM,2,Common Room,3.43,1,46,0.111111111,0.57571965
82,Kai,Monday,PM,2,Common Room,3.4,1,45.5,0.111111111,0.569461827
83,Kai,Monday,PM,2,Student Union,8.63,8,66.9,0.888888889,0.837296621
84,Kai,Monday,PM,2,Main Library,5.7,4,55.6,0.444444444,0.695869837
85,Kai,Wednesday,AM,1,Common Room,3.21,1,42.4,0.111111111,0.530663329
86,Kai,Wednesday,AM,1,Main Library,4.8,3,50.1,0.333333333,0.627033792
87,Kai,Wednesday,AM,1,Student Union,5.91,4,58.9,0.444444444,0.737171464
88,Kai,Wednesday,PM,1,Student Union,6.99,5,67.3,0.555555556,0.842302879
89,Kai,Wednesday,PM,1,Common Room,2.92,1,37.8,0.111111111,0.473091364
90,Kai,Wednesday,PM,1,Main Library,5.65,4,54.8,0.444444444,0.685857322
91,Kai,Wednesday,AM,2,Common Room,3.1,1,40.7,0.111111111,0.509386733
92,Kai,Wednesday,AM,2,Student Union,5.18,3,56.2,0.333333333,0.703379224
93,Kai,Wednesday,AM,2,Main Library,4.91,3,51.9,0.333333333,0.649561952
94,Kai,Wednesday,PM,2,Common Room,3.56,2,39.2,0.222222222,0.490613267
95,Kai,Wednesday,PM,2,Main Library,6.44,5,58.5,0.555555556,0.732165207
96,Kai,Wednesday,PM,2,Student Union,8.61,8,66.6,0.888888889,0.833541927
97,Kai,Friday,AM,1,Student Union,4.73,2,57.8,0.222222222,0.723404255
98,Kai,Friday,AM,1,Common Room,2.97,1,38.6,0.111111111,0.48310388
99,Kai,Friday,AM,1,Main Library,4.89,3,51.5,0.333333333,0.644555695
100,Kai,Friday,PM,1,Main Library,5.49,4,52.2,0.444444444,0.653316646
101,Kai,Friday,PM,1,Common Room,3.12,1,40.9,0.111111111,0.511889862
102,Kai,Friday,PM,1,Student Union,8.54,8,65.4,0.888888889,0.818523154
103,Kai,Friday,AM,2,Common Room,3.12,1,41,0.111111111,0.513141427
104,Kai,Friday,AM,2,Student Union,5.81,4,57.3,0.444444444,0.717146433
105,Kai,Friday,AM,2,Main Library,4.82,3,50.4,0.333333333,0.630788486
106,Kai,Friday,PM,2,Student Union,8.02,7,66,0.777777778,0.826032541
107,Kai,Friday,PM,2,Main Library,4.96,3,52.6,0.333333333,0.658322904
108,Kai,Friday,PM,2,Common Room,4.15,2,48.5,0.222222222,0.607008761
109,Humaira,Monday,AM,1,Main Library,5.2,3,56.4,0.333333333,0.705882353
110,Humaira,Monday,AM,1,Student Union,7.44,6,65.6,0.666666667,0.821026283
111,Humaira,Monday,AM,1,Common Room,3.14,1,41.3,0.111111111,0.51689612
112,Humaira,Monday,PM,1,Main Library,5.3,3,58.1,0.333333333,0.727158949
113,Humaira,Monday,PM,1,Common Room,3.4,1,45.5,0.111111111,0.569461827
114,Humaira,Monday,PM,1,Student Union,8.88,8,70.9,0.888888889,0.887359199
115,Humaira,Monday,AM,2,Student Union,8.33,7,70.9,0.777777778,0.887359199
116,Humaira,Monday,AM,2,Main Library,3.83,1,52.3,0.111111111,0.65456821
117,Humaira,Monday,AM,2,Common Room,3.63,2,40.2,0.222222222,0.503128911
118,Humaira,Monday,PM,2,Student Union,7.74,6,70.4,0.666666667,0.881101377
119,Humaira,Monday,PM,2,Common Room,3.45,1,46.2,0.111111111,0.578222778
120,Humaira,Monday,PM,2,Main Library,4.57,2,55.3,0.222222222,0.692115144
121,Humaira,Wednesday,AM,1,Main Library,4.98,3,52.9,0.333333333,0.662077597
122,Humaira,Wednesday,AM,1,Common Room,2.71,1,34.4,0.111111111,0.430538173
123,Humaira,Wednesday,AM,1,Student Union,10,9,79.9,1,1
124,Humaira,Wednesday,PM,1,Common Room,4,2,46.2,0.222222222,0.578222778
125,Humaira,Wednesday,PM,1,Student Union,9.97,9,79.5,1,0.994993742
126,Humaira,Wednesday,PM,1,Main Library,4.37,2,52.1,0.222222222,0.652065081
127,Humaira,Wednesday,AM,2,Main Library,4.89,3,51.5,0.333333333,0.644555695
128,Humaira,Wednesday,AM,2,Student Union,6.33,4,65.6,0.444444444,0.821026283
129,Humaira,Wednesday,AM,2,Common Room,3.08,1,40.3,0.111111111,0.504380476
130,Humaira,Wednesday,PM,2,Student Union,7.64,6,68.9,0.666666667,0.86232791
131,Humaira,Wednesday,PM,2,Main Library,5.48,4,52.1,0.444444444,0.652065081
132,Humaira,Wednesday,PM,2,Common Room,4.07,2,47.3,0.222222222,0.591989987
133,Humaira,Friday,AM,1,Common Room,3.18,1,42,0.111111111,0.525657071
134,Humaira,Friday,AM,1,Student Union,6.7,5,62.7,0.555555556,0.784730914
135,Humaira,Friday,AM,1,Main Library,5.58,4,53.7,0.444444444,0.672090113
136,Humaira,Friday,PM,1,Main Library,4.42,2,52.8,0.222222222,0.660826033
137,Humaira,Friday,PM,1,Common Room,3.27,1,43.4,0.111111111,0.543178974
138,Humaira,Friday,PM,1,Student Union,6,4,60.4,0.444444444,0.755944931
139,Humaira,Friday,AM,2,Common Room,3.6,2,39.7,0.222222222,0.496871089
140,Humaira,Friday,AM,2,Student Union,7.67,6,69.3,0.666666667,0.867334168
141,Humaira,Friday,AM,2,Main Library,5.47,4,51.9,0.444444444,0.649561952
142,Humaira,Friday,PM,2,Main Library,4.95,3,52.5,0.333333333,0.657071339
143,Humaira,Friday,PM,2,Common Room,3.66,2,40.8,0.222222222,0.510638298
144,Humaira,Friday,PM,2,Student Union,9.39,9,70.2,1,0.878598248
